(0;1)
(0,1;2,08532158853225)
(0,2;4,34856612759866)
(0,3;9,06815882504158)
(0,4;18,9100273660984)
(0,5;39,4334883062607)
(0,6;82,2315044761795)
(0,7;171,479131541663)
(0,8;357,589134986592)
(0,9;745,688343012112)
(1;1555)
(1,1;3242,67507016764)
(1,2;6762,02032841592)
(1,3;14100,9869729397)
(1,4;29405,0925542831)
(1,5;61319,0743162355)
(1,6;127869,989460459)
(1,7;266650,049547287)
(1,8;556051,104904152)
(1,9;1159545,37338384)
(2;2418025,00000001)
(2,1;5042359,73411071)
(2,2;10514941,6106868)
(2,3;21927034,7429213)
(2,4;45724918,9219105)
(2,5;95351160,5617467)
(2,6;198837833,611015)
(2,7;414640827,046034)
(2,8;864659468,125961)
(2,9;1803093055,61188)
(3;3760028875,00004)
(3,1;7840869386,54221)
(3,2;16350734204,6181)
(3,3;34096539025,2428)
(3,4;71102248923,5712)
(3,5;148271054673,517)
(3,6;309192831265,131)
(3,7;644766486056,587)
(3,8;1344545472935,88)
(3,9;2803809701476,49)
(4;5846844900625,08)
(4,1;12192551896073,1)
(4,2;25425391688181,1)
(4,3;53020118184252,2)
(4,4;110563997076152)
(4,5;230561490017316)
(4,6;480794852617271)
(4,7;1,00261188581797E+15)
(4,8;2,09076821041524E+15)
(4,9;4,35992408579583E+15)
(5;9,09184382047176E+15)
(5,1;1,89594181983932E+16)
(5,2;3,95364840751205E+16)
(5,3;8,244628377651E+16)
(5,4;1,71927015453412E+17)
(5,5;3,58523116976917E+17)
(5,6;7,47635995819836E+17)
(5,7;1,55906148244691E+18)
(5,8;3,25114456719562E+18)
(5,9;6,77968195341234E+18)
(5,99999999999999;1,41378171408332E+19)
(6,09999999999999;2,94818952985007E+19)
(6,19999999999999;6,14792327368108E+19)
(6,29999999999999;1,2820397127247E+20)
(6,39999999999999;2,67346509030049E+20)
(6,49999999999999;5,57503446899091E+20)
(6,59999999999999;1,16257397349981E+21)
(6,69999999999999;2,42434060520488E+21)
(6,79999999999999;5,05552980198905E+21)
(6,89999999999999;1,05424054375559E+22)
(6,99999999999999;2,19843056539951E+22)
(7,09999999999999;4,58443471891674E+22)
(7,19999999999999;9,56002069057383E+22)
(7,29999999999999;1,99357175328685E+23)
(7,39999999999999;4,15723821541715E+23)
(7,49999999999999;8,66917859928064E+23)
(7,59999999999999;1,80780252879216E+24)
(7,69999999999999;3,76984964109348E+24)
(7,79999999999999;7,86134884209277E+24)
